TREE_COLORS
SEPARATOR TAB
DATA
689	range	#20847C	environmental samples
690	range	#20847C	environmental samples
691	range	#78C7BC	Opisthokonta
692	range	#78C7BC	Opisthokonta
693	range	#78C7BC	Opisthokonta
694	range	#78C7BC	Opisthokonta
695	range	#78C7BC	Opisthokonta
696	range	#78C7BC	Opisthokonta
697	range	#78C7BC	Opisthokonta
698	range	#78C7BC	Opisthokonta
699	range	#78C7BC	Opisthokonta
700	range	#78C7BC	Opisthokonta
701	range	#78C7BC	Opisthokonta
702	range	#78C7BC	Opisthokonta
703	range	#78C7BC	Opisthokonta
704	range	#78C7BC	Opisthokonta
705	range	#78C7BC	Opisthokonta
706	range	#78C7BC	Opisthokonta
707	range	#78C7BC	Opisthokonta
708	range	#78C7BC	Opisthokonta
709	range	#78C7BC	Opisthokonta
710	range	#78C7BC	Opisthokonta
711	range	#78C7BC	Opisthokonta
712	range	#78C7BC	Opisthokonta
713	range	#78C7BC	Opisthokonta
714	range	#78C7BC	Opisthokonta
715	range	#78C7BC	Opisthokonta
716	range	#78C7BC	Opisthokonta
717	range	#78C7BC	Opisthokonta
718	range	#78C7BC	Opisthokonta
719	range	#78C7BC	Opisthokonta
720	range	#90D3C9	Rhodophyta
721	range	#90D3C9	Rhodophyta
722	range	#90D3C9	Rhodophyta
723	range	#A6DCD4	Viridiplantae
724	range	#A6DCD4	Viridiplantae
725	range	#A6DCD4	Viridiplantae
726	range	#A6DCD4	Viridiplantae
727	range	#A6DCD4	Viridiplantae
728	range	#A6DCD4	Viridiplantae
729	range	#A6DCD4	Viridiplantae
730	range	#A6DCD4	Viridiplantae
731	range	#A6DCD4	Viridiplantae
732	range	#A6DCD4	Viridiplantae
733	range	#A6DCD4	Viridiplantae
734	range	#A6DCD4	Viridiplantae
735	range	#A6DCD4	Viridiplantae
736	range	#A6DCD4	Viridiplantae
737	range	#A6DCD4	Viridiplantae
738	range	#A6DCD4	Viridiplantae
