DATASET_COLORSTRIP
SEPARATOR TAB
DATASET_LABEL	Orders
STRIP_WIDTH	75
MARGIN	0
SHOW_INTERNAL	1
DATA
1	#5D3505	Euryarchaeota
525	#10746C	Firmicutes
526	#10746C	Firmicutes
527	#10746C	Firmicutes
528	#10746C	Firmicutes
529	#10746C	Firmicutes
530	#10746C	Firmicutes
531	#10746C	Firmicutes
532	#10746C	Firmicutes
533	#10746C	Firmicutes
534	#10746C	Firmicutes
535	#10746C	Firmicutes
536	#10746C	Firmicutes
537	#10746C	Firmicutes
538	#10746C	Firmicutes
539	#10746C	Firmicutes
540	#10746C	Firmicutes
541	#10746C	Firmicutes
542	#10746C	Firmicutes
543	#10746C	Firmicutes
544	#10746C	Firmicutes
545	#10746C	Firmicutes
546	#10746C	Firmicutes
547	#10746C	Firmicutes
548	#10746C	Firmicutes
549	#10746C	Firmicutes
550	#10746C	Firmicutes
551	#10746C	Firmicutes
552	#10746C	Firmicutes
553	#10746C	Firmicutes
554	#10746C	Firmicutes
555	#10746C	Firmicutes
556	#10746C	Firmicutes
557	#10746C	Firmicutes
558	#10746C	Firmicutes
559	#10746C	Firmicutes
560	#10746C	Firmicutes
561	#10746C	Firmicutes
562	#10746C	Firmicutes
563	#10746C	Firmicutes
564	#10746C	Firmicutes
565	#10746C	Firmicutes
566	#10746C	Firmicutes
567	#10746C	Firmicutes
568	#10746C	Firmicutes
569	#10746C	Firmicutes
570	#10746C	Firmicutes
571	#10746C	Firmicutes
572	#10746C	Firmicutes
573	#10746C	Firmicutes
574	#10746C	Firmicutes
575	#10746C	Firmicutes
576	#10746C	Firmicutes
577	#10746C	Firmicutes
578	#10746C	Firmicutes
579	#10746C	Firmicutes
580	#10746C	Firmicutes
581	#10746C	Firmicutes
582	#10746C	Firmicutes
583	#10746C	Firmicutes
584	#10746C	Firmicutes
585	#10746C	Firmicutes
586	#10746C	Firmicutes
587	#10746C	Firmicutes
588	#10746C	Firmicutes
589	#10746C	Firmicutes
590	#10746C	Firmicutes
591	#10746C	Firmicutes
592	#10746C	Firmicutes
593	#10746C	Firmicutes
594	#10746C	Firmicutes
595	#10746C	Firmicutes
596	#10746C	Firmicutes
597	#10746C	Firmicutes
598	#10746C	Firmicutes
599	#10746C	Firmicutes
600	#10746C	Firmicutes
601	#10746C	Firmicutes
602	#10746C	Firmicutes
603	#10746C	Firmicutes
604	#10746C	Firmicutes
605	#10746C	Firmicutes
606	#10746C	Firmicutes
607	#10746C	Firmicutes
608	#10746C	Firmicutes
609	#10746C	Firmicutes
610	#10746C	Firmicutes
611	#10746C	Firmicutes
612	#10746C	Firmicutes
613	#10746C	Firmicutes
614	#10746C	Firmicutes
615	#10746C	Firmicutes
616	#10746C	Firmicutes
617	#10746C	Firmicutes
618	#10746C	Firmicutes
619	#10746C	Firmicutes
620	#10746C	Firmicutes
621	#10746C	Firmicutes
622	#10746C	Firmicutes
623	#10746C	Firmicutes
624	#10746C	Firmicutes
625	#10746C	Firmicutes
626	#10746C	Firmicutes
627	#10746C	Firmicutes
628	#10746C	Firmicutes
629	#10746C	Firmicutes
630	#10746C	Firmicutes
631	#10746C	Firmicutes
632	#10746C	Firmicutes
633	#10746C	Firmicutes
634	#10746C	Firmicutes
635	#10746C	Firmicutes
636	#10746C	Firmicutes
637	#10746C	Firmicutes
638	#10746C	Firmicutes
639	#10746C	Firmicutes
640	#10746C	Firmicutes
641	#10746C	Firmicutes
642	#10746C	Firmicutes
643	#10746C	Firmicutes
644	#10746C	Firmicutes
645	#10746C	Firmicutes
646	#10746C	Firmicutes
647	#10746C	Firmicutes
648	#10746C	Firmicutes
649	#10746C	Firmicutes
650	#10746C	Firmicutes
651	#10746C	Firmicutes
652	#10746C	Firmicutes
653	#10746C	Firmicutes
654	#10746C	Firmicutes
655	#10746C	Firmicutes
656	#10746C	Firmicutes
657	#10746C	Firmicutes
658	#10746C	Firmicutes
659	#10746C	Firmicutes
660	#10746C	Firmicutes
661	#10746C	Firmicutes
662	#10746C	Firmicutes
663	#10746C	Firmicutes
664	#10746C	Firmicutes
665	#10746C	Firmicutes
666	#10746C	Firmicutes
667	#10746C	Firmicutes
668	#10746C	Firmicutes
669	#10746C	Firmicutes
670	#10746C	Firmicutes
671	#10746C	Firmicutes
672	#10746C	Firmicutes
673	#10746C	Firmicutes
674	#10746C	Firmicutes
675	#10746C	Firmicutes
676	#10746C	Firmicutes
677	#10746C	Firmicutes
678	#10746C	Firmicutes
679	#10746C	Firmicutes
680	#31938B	Tenericutes
681	#48A49B	Thermobaculum
682	#48A49B	Thermobaculum
683	#48A49B	Thermobaculum
684	#48A49B	Thermobaculum
685	#60B6AC	Thermotogae
686	#60B6AC	Thermotogae
687	#20847C	environmental samples
688	#20847C	environmental samples
689	#20847C	environmental samples
690	#20847C	environmental samples
691	#78C7BC	Opisthokonta
692	#78C7BC	Opisthokonta
693	#78C7BC	Opisthokonta
694	#78C7BC	Opisthokonta
695	#78C7BC	Opisthokonta
696	#78C7BC	Opisthokonta
697	#78C7BC	Opisthokonta
698	#78C7BC	Opisthokonta
699	#78C7BC	Opisthokonta
700	#78C7BC	Opisthokonta
701	#78C7BC	Opisthokonta
702	#78C7BC	Opisthokonta
703	#78C7BC	Opisthokonta
704	#78C7BC	Opisthokonta
705	#78C7BC	Opisthokonta
706	#78C7BC	Opisthokonta
707	#78C7BC	Opisthokonta
708	#78C7BC	Opisthokonta
709	#78C7BC	Opisthokonta
710	#78C7BC	Opisthokonta
711	#78C7BC	Opisthokonta
712	#78C7BC	Opisthokonta
713	#78C7BC	Opisthokonta
714	#78C7BC	Opisthokonta
715	#78C7BC	Opisthokonta
716	#78C7BC	Opisthokonta
717	#78C7BC	Opisthokonta
718	#78C7BC	Opisthokonta
719	#78C7BC	Opisthokonta
720	#90D3C9	Rhodophyta
721	#90D3C9	Rhodophyta
722	#90D3C9	Rhodophyta
723|738	#A6DCD4	Viridiplantae
